verb,sl,sl_noloc,sl_nowith,inch,non_inch,there,non_there,dat_both,dative_to,dat_do,refl_op,refl_only
powdered,0,0,0,x,x,x,x,0,x,0,0,1
towelled,0,0,0,x,x,x,x,0,x,0,0,1
rouged,0,0,0,x,x,x,x,0,x,0,0,1
shaped,0,0,0,x,x,x,x,0,x,0,0,1
soaped,0,0,0,x,x,x,x,0,x,0,0,1
bruised,0,0,0,x,x,x,x,0,x,0,0,1
fractured,0,0,0,x,x,x,x,0,x,0,0,1
hurt,0,0,0,x,x,x,x,0,x,0,0,1
injured,0,0,0,x,x,x,x,0,x,0,0,1
strained,0,0,0,x,x,x,x,0,x,0,0,1
scalded,0,0,0,x,x,x,x,0,x,0,0,1
ruptured,0,0,0,x,x,x,x,0,x,0,0,1
bit,0,0,0,x,x,x,x,0,x,0,0,1
split,0,0,0,x,x,x,x,0,x,0,0,1
sprained,0,0,0,x,x,x,x,0,x,0,0,1
pulled,0,0,0,x,x,x,x,0,x,0,0,1
nicked,0,0,0,x,x,x,x,0,x,0,0,1
pricked,0,0,0,x,x,x,x,0,x,0,0,1
